,word,count
35,muito,1568458
40,estou,1449759
41,vamos,1420644
43,minha,1230694
45,então,1211428
47,agora,1181210
51,fazer,1055940
55,tenho,935890
58,certo,918318
68,disse,806689
72,quero,783981
77,dizer,741447
78,posso,740678
80,sobre,734703
83,mesmo,699330
84,coisa,669387
85,todos,655568
86,estão,640889
89,tempo,621951
90,assim,620622
91,nunca,608898
92,vocês,608468
101,ainda,558497
105,favor,521946
108,noite,514681
110,temos,510149
130,ficar,424486
133,claro,416979
135,tinha,406994
136,falar,406564
138,antes,404707
140,pouco,402632
144,homem,383305
151,lugar,365584
157,estar,352830
159,disso,349418
169,mundo,315223
170,saber,313726
175,sinto,302174
177,nossa,301627
186,outro,282121
190,nosso,276632
194,filho,267642
199,outra,253337
202,volta,238641
208,sabia,232259
210,menos,230759
212,algum,229208
216,ótimo,218571
217,carro,217940
218,vezes,215892
219,amigo,214659
222,seria,211006
223,venha,210165
225,entre,209163
226,daqui,206026
227,sério,204028
231,parte,200135
233,feliz,197259
240,atrás,189476
241,tenha,189070
245,todas,187391
258,podem,172903
260,merda,171084
263,tarde,169685
264,gosto,169631
267,fique,167217
271,pegar,164895
272,foram,164748
274,gente,163727
275,somos,163139
277,fosse,162426
285,deles,154942
286,desde,154598
287,tanto,154098
290,legal,153361
295,jeito,151950
303,irmão,147268
307,quase,144341
308,horas,144177
311,essas,142292
315,forma,141405
317,matar,140732
320,perto,139350
323,esses,137418
325,achei,136837
326,deixe,136721
332,ajuda,133530
335,nisso,132871
339,manhã,131838
342,sorte,131022
343,morte,131003
345,papai,129449
352,levar,127299
353,filha,126797
354,feito,126740
356,morto,126021
357,porta,125738
367,mesma,122368
370,teria,121439
375,ouvir,120219
376,gosta,118631
379,olhos,117197
387,razão,115775
390,ideia,115356
394,havia,113652
396,parar,112758
399,corpo,111546
400,chefe,111526
401,poder,111160
402,mamãe,110962
407,ficou,110169
408,conta,110148
411,longe,109588
415,terra,107896
416,droga,107699
417,ontem,107458
419,única,107358
420,devia,107350
421,sendo,107229
422,causa,107218
440,maior,98905
441,velho,97946
444,houve,97160
445,festa,97006
451,tirar,95803
453,podia,95312
457,comer,95065
458,fácil,94781
459,deixa,94652
463,meses,94008
470,cinco,92861
472,matou,92526
474,muita,91944
475,idéia,91898
483,dessa,90327
485,tomar,89968
488,neste,89011
496,possa,87555
497,desse,87508
498,vindo,87004
499,certa,87002
509,culpa,85194
517,forte,83276
519,viver,83083
530,final,80619
533,chega,80153
534,único,79997
536,falta,79616
537,desta,79504
542,nessa,79187
544,mudar,79150
545,faria,79103
546,porra,79014
548,falou,78291
550,pagar,78043
551,plano,77778
554,achar,77442
556,sabem,77265
558,pegue,76959
561,jovem,76149
564,olhar,75621
566,ponto,75489
570,tchau,75293
571,nesse,75109
575,calma,74528
576,filme,74508
577,pedir,74492
579,sente,74322
580,louco,74120
585,caras,73358
586,ouviu,72785
589,pensa,72626
590,ligar,72450
592,força,71776
598,baixo,70154
604,dizem,69210
606,vendo,68912
608,jogar,68467
609,livro,68430
610,adeus,68420
614,fazem,67683
621,estes,66759
626,linda,66389
631,falei,65546
636,resto,65168
644,volte,64170
646,nesta,64071
650,pegou,63610
652,devem,63381
653,aonde,63320
659,pelos,61887
666,armas,60763
676,casar,59639
680,amiga,59231
684,deste,58773
693,livre,57552
694,mente,57490
709,visto,56158
710,estas,56035
712,sinal,55795
713,grupo,55772
714,andar,55660
717,rosto,55388
721,preso,54749
728,pense,54184
732,pediu,53657
733,jesus,53601
747,linha,52776
748,achou,52739
756,chama,52320
764,idade,51552
765,crime,51531
769,local,51263
771,lindo,50868
772,tente,50856
776,levou,50583
778,farei,50464
780,natal,50358
782,odeio,50168
783,rapaz,50099
788,ótima,49267
790,campo,49189
799,soube,48473
803,lista,48356
804,sonho,48276
809,beber,47952
810,ordem,47897
814,hotel,47633
815,caixa,47615
821,diria,46959
829,david,46407
832,frank,46182
833,fotos,46043
835,abrir,45916
839,tiver,45727
842,morta,45526
847,pelas,45048
850,monte,44907
854,banco,44685
860,ligou,44372
862,perdi,44276
863,fundo,44248
864,lutar,44238
867,fomos,44177
876,passa,43763
883,carta,43203
890,papel,43059
898,dando,42839
903,mudou,42603
904,capaz,42320
906,penso,42109
911,velha,41976
914,prova,41752
915,barco,41712
920,senti,41547
928,avião,41195
933,tocar,40829
934,breve,40788
936,ligue,40702
941,chave,40172
951,haver,39736
953,tendo,39713
959,saiba,39512
960,roupa,39400
969,ajude,38658
976,vidas,38448
977,pobre,38412
982,puder,38175
983,vista,38104
988,fazia,37901
992,adoro,37680
1000,james,37452
1001,peter,37448
1003,serão,37423
1004,padre,37404
1006,louca,37209
1012,época,37053
1014,carne,37029
1017,cheio,36694
1018,fugir,36637
1020,teste,36594
1025,saúde,36476
1027,junto,36445
1030,passo,36365
1034,longo,36184
1040,delas,36037
1045,igual,35954
1047,bater,35842
1050,basta,35786
1059,ambos,35670
1061,chame,35566
1074,acham,34986
1083,quais,34649
1085,cerca,34431
1088,serei,34357
1091,creio,34259
1092,norte,34233
1104,toque,33742
1112,graça,33571
1114,lidar,33506
1119,henry,33221
1120,honra,33197
1137,clube,32545
1140,volto,32495
1144,justo,32416
1147,corte,32329
1158,vinho,31894
1160,terei,31775
1162,saída,31743
1166,comum,31675
1170,disto,31387
1172,tanta,31357
1176,verão,31258
1179,steve,31168
1191,paris,30616
1194,raiva,30554
1215,série,30002
1224,harry,29863
1233,sarah,29630
1234,danny,29626
1237,parem,29531
1239,banho,29461
1241,traga,29380
1242,conte,29364
1243,bolsa,29339
1248,jimmy,29196
1251,bomba,29030
1253,preço,28984
1273,nível,28405
1275,pista,28342
1286,rádio,28130
1287,acaba,28126
1296,dança,27998
1297,braço,27951
1300,líder,27831
1305,criar,27646
1308,risco,27585
1314,negro,27506
1320,novos,27263
1322,bunda,27249
1332,entra,26990
1335,cheia,26951
1339,longa,26831
1340,trata,26788
1341,tirou,26785
1344,ficam,26747
1347,piada,26631
1355,dizia,26375
1356,saiam,26360
1367,billy,26103
1368,novas,26102
1369,viram,26073
1374,sejam,26014
1378,nomes,25894
1385,subir,25714
1393,herói,25541
1399,acima,25335
1404,busca,25246
1406,visão,25241
1407,estás,25236
1419,vídeo,25045
1421,fizer,24997
1425,tommy,24887
1427,praia,24767
1438,super,24592
1441,vemos,24570
1442,matei,24564
1451,navio,24347
1452,limpo,24321
1460,bravo,24229
1464,pedra,24147
1471,dados,24036
1473,peixe,23995
1488,total,23784
1493,vimos,23690
1494,major,23672
1497,olhem,23623
1502,vejam,23584
1507,diabo,23404
1509,maria,23389
1518,eddie,23254
1519,chris,23186
1524,redor,23016
1526,menor,22997
1527,virar,22971
1528,perna,22965
1548,amava,22669
1549,nariz,22660
1560,beijo,22576
1564,troca,22459
1566,verde,22418
1575,passe,22309
1576,apoio,22307
1584,banda,22159
1588,valor,22085
1598,presa,21909
1609,parou,21729
1615,kevin,21654
1616,ponha,21650
1617,leite,21643
1629,bobby,21438
1637,marca,21301
1638,dever,21280
1646,vento,21191
1660,ganha,21017
1668,vadia,20869
1671,briga,20858
1672,manda,20842
1676,bateu,20805
1684,palco,20663
1689,ponte,20580
1690,noiva,20557
1698,fugiu,20430
1703,tomou,20358
1707,obter,20293
1717,daria,20041
1722,façam,19958
1724,dedos,19902
1727,salvo,19884
1741,deram,19642
1742,casos,19636
1746,odeia,19581
1753,brian,19541
1760,luzes,19406
1769,preto,19279
1774,direi,19218
1779,perda,19187
1783,calor,19155
1792,feita,19064
1796,kelly,19022
1797,morar,19016
1801,senão,18986
1804,scott,18973
1805,porco,18962
1810,terão,18865
1811,serem,18814
1812,enfim,18806
1814,fonte,18792
1825,firme,18688
1839,usado,18545
1846,casal,18390
1847,simon,18376
1848,casas,18368
1849,oeste,18361
1851,larry,18314
1859,chuva,18241
1863,bordo,18233
1872,acaso,18093
1874,valeu,18073
1880,baile,18031
1882,geral,17989
1886,torna,17919
1901,santo,17702
1904,jogos,17654
1907,jason,17635
1909,aviso,17613
1912,serve,17590
1918,grana,17544
1922,mande,17493
1927,corra,17413
1928,morre,17386
1930,tenta,17341
1934,darei,17324
1940,roubo,17293
1954,smith,17085
1956,lance,17079
1960,primo,17038
1974,peito,16957
1976,venho,16940
1981,invés,16886
1983,humor,16879
1984,curso,16875
1985,lição,16850
1991,exato,16772
1996,jerry,16747
1997,foder,16744
2002,falso,16666
2005,vossa,16647
2007,chamo,16605
2014,emily,16538
2017,posto,16515
2019,cuide,16506
2026,venda,16456
2051,grace,16256
2054,golpe,16227
2056,feche,16219
2070,reino,16121
2074,falam,16074
2079,alice,16039
2080,canto,16037
2081,óbvio,16030
2084,ações,16004
2089,leste,15956
2099,bolas,15802
2104,atire,15771
2109,prato,15724
2111,jogou,15719
2117,aulas,15699
2127,vinte,15612
2129,vazio,15606
2132,opção,15576
2134,vivos,15562
2138,gênio,15513
2139,exame,15510
2145,extra,15424
2146,clara,15413
2152,erros,15374
2156,laura,15346
2158,ruins,15337
2161,comeu,15293
2165,chato,15269
2166,corre,15255
2173,fraco,15201
2180,magia,15155
2182,solte,15138
2184,nisto,15118
2191,annie,15079
2219,mexer,14872
2232,virou,14765
2235,roger,14724
2237,notas,14698
2241,porém,14665
2247,costa,14605
2254,pagou,14544
2256,pizza,14524
2259,votos,14507
2261,bando,14486
2283,louis,14333
2286,queda,14321
2289,susan,14301
2294,limpa,14272
2295,criou,14266
2305,corda,14188
2308,sinta,14177
2309,clark,14169
2317,santa,14123
2321,tipos,14086
2327,bolso,14052
2331,lavar,14028
2338,motor,14010
2359,tomei,13902
2362,rindo,13875
2364,negra,13863
2369,neles,13826
2374,sumiu,13768
2383,cuido,13731
2384,folga,13724
2387,grave,13695
2390,massa,13652
2395,regra,13632
2398,balas,13604
2406,blake,13573
2415,mover,13521
2422,torre,13473
2427,fumar,13391
2446,china,13279
2452,placa,13247
2459,conto,13215
2463,bebês,13202
2477,ossos,13115
2489,jenny,13019
2495,fatos,12978
2501,jesse,12952
2511,calmo,12914
2521,carga,12851
2529,solta,12773
2530,levei,12759
2533,irmãs,12751
2537,karen,12709
2542,terem,12672
2543,bruxa,12670
2544,doces,12667
2561,cruel,12567
2563,adora,12563
2570,julie,12542
2571,areia,12536
2573,malas,12532
2582,baixa,12507
2584,senso,12496
2586,abriu,12484
2590,cofre,12475
2591,perde,12471
2592,tento,12464
2600,sabes,12427
2603,porão,12411
2616,viria,12328
2620,peças,12295
2627,canal,12241
2638,jogue,12192
2639,tiros,12188
2641,seres,12181
2642,morra,12180
2646,vivem,12173
2656,chuck,12090
2665,donna,12040
2675,vírus,12011
2676,barry,12011
2677,sexta,12010
2678,jones,12010
2681,botão,11989
2684,tribo,11958
2686,vidro,11944
2691,gordo,11908
2707,índia,11843
2712,mudei,11823
2713,custa,11822
2720,tirei,11775
2722,lendo,11767
2723,lados,11763
2724,julia,11757
2725,verei,11757
2729,ferro,11731
2731,disco,11717
2738,salão,11665
2739,cópia,11662
2743,noivo,11640
2744,deixo,11638
2751,cuida,11602
2757,ouçam,11575
2763,torta,11545
2764,olhou,11532
2772,corta,11487
2777,brava,11463
2780,dorme,11443
2784,pulso,11429
2802,ricos,11312
2820,pular,11233
2821,olhei,11220
2833,texas,11167
2853,torno,11112
2855,vegas,11100
2860,cobra,11083
2863,nação,11071
2868,reais,11038
2872,casou,11023
2873,tocou,11020
2876,crise,11017
2886,molho,10969
2889,katie,10957
2890,metal,10957
2891,molly,10957
2898,tyler,10925
2902,burro,10911
2903,terno,10907
2912,usava,10846
2920,brown,10817
2924,helen,10803
2936,robin,10724
2938,médio,10704
2941,goste,10701
2948,nadar,10678
2962,irmos,10581
2968,bruce,10565
2969,terry,10559
2970,curto,10558
2976,votar,10523
2977,clima,10513
2985,ganho,10485
2991,ritmo,10472
2999,aliás,10408
3003,museu,10388
3010,acabe,10330
3014,sally,10299
3018,dylan,10291
3024,jamie,10246
3032,carol,10226
3038,danos,10208
3039,acabo,10200
3043,avise,10191
3048,senta,10137
3054,lucas,10120
3064,falha,10066
3065,farão,10064
3084,febre,9944
3087,união,9929
3098,digam,9882
3102,íamos,9873
3103,colar,9872
3105,moral,9871
3107,lorde,9857
3123,betty,9798
3126,cores,9781
3135,resta,9748
3145,perca,9717
3156,saído,9680
3157,russo,9677
3164,ricky,9651
3177,segue,9613
3179,ponta,9606
3184,porto,9592
3185,piano,9591
3192,ratos,9569
3193,chloe,9567
3197,lenda,9559
3198,pênis,9555
3203,ficha,9539
3204,forem,9532
3209,nasci,9522
3218,vinha,9494
3224,marie,9466
3234,doido,9438
3238,times,9429
3241,coroa,9417
3243,falsa,9415
3246,valer,9405
3247,amado,9403
3249,botas,9392
3250,turno,9392
3253,parei,9386
3258,desça,9371
3259,civil,9366
3269,podes,9316
3284,cargo,9255
3289,kenny,9244
3296,túnel,9226
3303,trato,9208
3342,japão,9091
3350,barba,9083
3352,oscar,9081
3356,andou,9071
3365,ombro,9050
3379,turma,9016
3380,casey,9011
3385,virem,8985
3390,dormi,8970
3394,ondas,8964
3399,marty,8953
3413,randy,8911
3415,atual,8899
3418,prata,8891
3419,durar,8886
3422,graus,8880
3432,caçar,8852
3437,canta,8832
3443,durma,8805
3449,davis,8788
3464,calar,8725
3469,nobre,8714
3470,almas,8710
3472,traiu,8701
3481,puxar,8676
3485,dupla,8662
3488,iriam,8658
3490,judeu,8653
3492,meter,8648
3498,moeda,8631
3499,letra,8631
3512,black,8582
3520,vazia,8572
3521,keith,8571
3522,calça,8570
3535,seção,8514
3544,abram,8494
3547,tinta,8485
3552,salva,8474
3553,frota,8471
3555,prazo,8467
3556,frase,8462
3561,pausa,8455
3562,creme,8453
3570,virão,8421
3572,gatos,8417
3588,cinto,8367
3591,tênis,8351
3593,menti,8348
3598,grant,8336
3607,ambas,8307
3612,golfe,8287
3620,wayne,8273
3624,curar,8261
3630,derek,8246
3632,salto,8244
3637,ethan,8221
3641,duplo,8209
3644,lewis,8204
3657,rodas,8176
3659,conde,8171
3669,besta,8139
3675,média,8117
3689,miami,8080
3699,aérea,8042
3702,nancy,8034
3704,marco,8025
3708,dente,8023
3713,jacob,8008
3714,shawn,8004
3718,raios,7993
3722,arroz,7980
3723,tirem,7978
3725,atriz,7975
3726,negar,7972
3752,vince,7927
3769,damos,7885
3774,ellen,7866
3776,drama,7865
3779,demos,7861
3783,solar,7845
3794,curta,7799
3797,holly,7797
3809,salve,7754
3827,prima,7722
3828,meias,7721
3842,levam,7694
3845,sócio,7689
3861,miles,7639
3869,teddy,7620
3876,usada,7602
3895,sabor,7535
3908,diane,7501
3914,chore,7490
3915,sairá,7487
3919,suave,7485
3926,gorda,7469
3927,anjos,7467
3933,julho,7457
3936,folha,7446
3937,viveu,7437
3940,logan,7430
3942,águas,7429
3946,vozes,7422
3956,grama,7403
3959,bebeu,7391
3968,larga,7375
3977,aaron,7346
3986,luvas,7322
3993,elena,7302
4004,dobro,7285
4010,álibi,7266
4013,circo,7260
4016,notou,7255
4023,pedro,7239
4034,visse,7204
4036,sammy,7203
4050,rocha,7169
4054,vende,7161
4059,ideal,7144
4063,mídia,7141
4068,notei,7125
4073,séria,7121
4074,custo,7121
4080,rezar,7111
4091,vivia,7088
4094,pouca,7084
4095,seios,7081
4096,riley,7078
4099,unhas,7075
4100,setor,7074
4105,grato,7064
4120,selva,7032
4121,trago,7028
4122,diana,7028
4132,odiar,6991
4141,shane,6974
4143,solto,6972
4150,velas,6956
4154,civis,6948
4164,junho,6934
4173,naves,6916
4175,posse,6910
4180,white,6902
4191,mason,6878
4208,troco,6837
4209,altos,6836
4213,janet,6825
4217,abril,6816
4231,risos,6796
4232,firma,6795
